site_id,irradiance_only,irr_time,weather_only,weather_time,weather_irr,all
103941,249.87912730506116,233.57677801037326,446.7620823322754,330.3085713195969,235.34386522853006,218.93282250256814
787197,426.7981849399787,427.1898472473713,660.8012121067612,492.4432430301309,383.6069874458119,390.3484999855978
238320,396.527283698062,390.78994405754645,211.975755746086,193.47360757324083,173.33456324001807,170.28074440599994
349060,199.6836145508128,199.3240821363228,363.29129664126435,272.71633633368947,181.86374385156188,180.18288838160015
477834,181.70221664938373,178.42093207976063,180.72617431570245,167.85616359681626,145.3363286449826,140.23236994882916
641826,1355.5568909539136,1295.256053145463,1318.530180402333,1194.0752777705504,1066.940317644409,1011.7265176039978
896164,171.48190630359284,169.5549132061161,196.43178681619676,187.89418805813455,150.87659757914827,150.79391074175172
717193,2253.6355772736824,2196.4237799396833,2699.979602412408,2357.583860755426,2013.2404978493469,1996.2790715831063
627759,666.642241281788,560.0494214357562,1137.7335325189797,748.0456554521038,600.082597775511,540.1892837163965
569932,1097.0002150482394,1066.4277200915744,970.1060063537523,875.4409421507106,758.4710793839351,728.5986919477821
466851,405.50720807090727,395.78101792378465,371.94855315782377,341.9828691986556,323.3532985698391,307.9587412219969
256177,1208.564828274381,953.9909723822767,1347.706365458788,1034.6166440680067,1016.8321353476866,880.3551048249684
505347,2205.31660895643,1913.096697193885,3732.8363395314254,2526.5294297512646,2083.239302176151,1838.4909827595711
